8.77	-0.985110783
8.67	-0.948427838
8.57	-0.948427838
8.47	-0.913532174
8.37	-0.880148258
8.27	-0.848062079
8.17	-0.817103434
8.07	-0.787134278
7.97	-0.758040765
7.87	-0.702114276
7.77	-0.675131533
7.67	-0.622826585
7.57	-0.547826851
7.47	-0.476119061
7.37	-0.406975126
7.27	-0.317823704
7.17	-0.231221479
7.07	-0.125327831
6.97	-0.020834841
6.87	0.062540762
6.77	0.167448079
6.67	0.274258613
6.57	0.384396774
6.47	0.476119061
6.37	0.572418572
6.27	0.648719678
6.17	0.729727656
6.07	0.787134278
5.97	0.848062079
5.87	0.880148258
5.77	0.948427838
5.67	0.985110783
5.57	1.023946158
5.47	1.065435817
5.37	1.065435817
5.27	1.110302902
5.17	1.110302902
5.07	1.159658464
4.97	1.159658464
4.87	1.159658464
4.77	1.215375125
